,sl_no,video_id,user_id,comment,likes,last_update_time,sentiment,sentiment_label,stemmed_text,stemmed_clean_text
702,703,eN9Lb3vXsAw,UC0JZM0pc94Fz1z17m7SXKHw,That if they get a stimulus package gonna buy real estate class and one of those robot kits and make a robot octopus,0,2020-03-26T18:17:42.000Z,0.2,neutral,that if they get a stimulu packag gon na buy real estat class and one of those robot kit and make a robot octopu ,"['get', 'stimulu', 'packag', 'gon', 'buy', 'real', 'estat', 'class', 'robot', 'kit', 'make', 'robot', 'octopu']"
703,704,eN9Lb3vXsAw,UC0JZM0pc94Fz1z17m7SXKHw,Wait how low was the technology when that show came out,0,2020-03-26T18:21:21.000Z,0.0,neutral,wait how low wa the technolog when that show came out ,"['wait', 'low', 'wa', 'technolog', 'show', 'came']"
704,705,eN9Lb3vXsAw,UC51SIUjNortFScNIatJbXtw,"If you really know what your doing we could really use more tutorials covering annotating with a program like VoTT so that we could set up the tfrecords (or best way to export in your opinion) then train a NN like yolov3-darknet-53. Lots of tutorials out there but they all do training on images where their is one object per image. Which in realistic scenario there would be many different objects and a number of each per image. Are we supposed to crop the bounding boxes and train that way? I've written a program that takes csv file(not the tfrecord export) and the xmin,ymin,xmax,ymax and crops the images and places them in separate folders etc. But talking to another YouTuber he said this is not a good idea because accuracy will suffer due to images being different sizes. We need a from VoTT (seems like best tool?) from a already trained network(transfer learning) to a refined NN for our specific needs tutorial.",10,2020-01-13T20:46:17.000Z,0.2576388888888889,neutral,If you realli know what your do we could realli use more tutori cover annot with a program like vott so that we could set up the tfrecord or best way to export in your opinion then train a NN like lot of tutori out there but they all do train on imag where their is one object per imag which in realist scenario there would be mani differ object and a number of each per imag are we suppos to crop the bound box and train that way I written a program that take csv file not the tfrecord export and the xmin ymin xmax ymax and crop the imag and place them in separ folder etc but talk to anoth youtub he said thi is not a good idea becaus accuraci will suffer due to imag be differ size We need a from vott seem like best tool from a alreadi train network transfer learn to a refin NN for our specif need tutori ,"['If', 'realli', 'know', 'could', 'realli', 'use', 'tutori', 'cover', 'annot', 'program', 'like', 'vott', 'could', 'set', 'tfrecord', 'best', 'way', 'export', 'opinion', 'train', 'NN', 'like', 'lot', 'tutori', 'train', 'imag', 'object', 'imag', 'realist', 'scenario', 'would', 'mani', 'differ', 'object', 'number', 'imag', 'suppos', 'crop', 'bound', 'box', 'train', 'way', 'I', 'written', 'program', 'csv', 'file', 'tfrecord', 'export', 'xmin', 'ymin', 'xmax', 'ymax', 'crop', 'imag', 'place', 'separ', 'folder', 'etc', 'talk', 'anoth', 'youtub', 'said', 'good', 'idea', 'becaus', 'accuraci', 'suffer', 'due', 'imag', 'differ', 'size', 'We', 'need', 'vott', 'seem', 'like', 'best', 'tool', 'alreadi', 'train', 'network', 'transfer', 'learn', 'refin', 'NN', 'specif', 'need', 'tutori']"
705,706,eN9Lb3vXsAw,UCSZ1kBvYxqRlYyHqC1wh1ug,"Somehow my irritation lies here in that it sounds too icky and jargony.. Just too many keywords thrown around. Libraries are just tools, anybody can pick some of them up for their use-case and move on. It is no rocket science. No major advancement can happen on account of all of us just hacking around a bunch of tools. And there are already a swathe of manuals, and handbooks on how to use them, their intricacies, yada yada.. ""In Mathematics it is usually easier to study concepts when stretched to infinity."" WTF, a generic statement out of the blue! And noone stretches ""concepts"" to ""infinity"" just to study them easily. There are concrete reasons, patterns, deep understanding to be attained and we don't stretch anything to infinity. I do not even know how else to consider this statement. This is precisely my bone of contention. Just random connections made with various fields.",3,2020-01-26T01:27:29.000Z,-0.010565476190476184,neutral,somehow my irrit lie here in that it sound too icki and jargoni just too mani keyword thrown around librari are just tool anybodi can pick some of them up for their and move on It is no rocket scienc No major advanc can happen on account of all of us just hack around a bunch of tool and there are alreadi a swath of manual and handbook on how to use them their intricaci yada yada In mathemat it is usual easier to studi concept when stretch to infin wtf a gener statement out of the blue and noon stretch concept to infin just to studi them easili there are concret reason pattern deep understand to be attain and we do stretch anyth to infin I do not even know how els to consid thi statement thi is precis my bone of content just random connect made with variou field ,"['somehow', 'irrit', 'lie', 'sound', 'icki', 'jargoni', 'mani', 'keyword', 'thrown', 'around', 'librari', 'tool', 'anybodi', 'pick', 'move', 'It', 'rocket', 'scienc', 'No', 'major', 'advanc', 'happen', 'account', 'us', 'hack', 'around', 'bunch', 'tool', 'alreadi', 'swath', 'manual', 'handbook', 'use', 'intricaci', 'yada', 'yada', 'In', 'mathemat', 'usual', 'easier', 'studi', 'concept', 'stretch', 'infin', 'wtf', 'gener', 'statement', 'blue', 'noon', 'stretch', 'concept', 'infin', 'studi', 'easili', 'concret', 'reason', 'pattern', 'deep', 'understand', 'attain', 'stretch', 'anyth', 'infin', 'I', 'even', 'know', 'els', 'consid', 'statement', 'precis', 'bone', 'content', 'random', 'connect', 'made', 'variou', 'field']"
706,707,eN9Lb3vXsAw,UCVyBkfsLegVQtZGXzFveI4A,"Your videos are getting better, sources are quoted/cited. And most of all, I can understand what you are saying because you master your subject. Keep going. I'm re-subscribing :)",1,2020-03-02T07:13:51.000Z,0.33333333333333337,positive,your video are get better sourc are and most of all I can understand what you are say becaus you master your subject keep go I ,"['video', 'get', 'better', 'sourc', 'I', 'understand', 'say', 'becaus', 'master', 'subject', 'keep', 'go', 'I']"
707,708,eN9Lb3vXsAw,UCSSH8hoNHTF2_t88QotI57A,"thanks. I not known Graffitist, but it seems promising",3,2020-01-13T05:05:23.000Z,0.2,neutral,thank I not known graffitist but it seem promis ,"['thank', 'I', 'known', 'graffitist', 'seem', 'promis']"
708,709,eN9Lb3vXsAw,UCsl2i6n5TvAWoQesg5jPBGA,Welcome Back!,0,2020-01-29T12:03:54.000Z,0.4,positive,welcom back ,"['welcom', 'back']"
709,710,eN9Lb3vXsAw,UCsquvQNUeSGX_it036jfdag,Fast times Am down Meds i see it too.,0,2020-04-01T05:28:34.000Z,0.022222222222222213,neutral,fast time Am down med i see it too ,"['fast', 'time', 'Am', 'see']"
710,711,eN9Lb3vXsAw,UCswT6ruXB8lYtv2cKYNaZTA,"kinda missed opportunity at 2:27. after ""massage it"" you could've said ""siraj it""",0,2020-02-15T16:40:36.000Z,0.0,neutral,kinda miss opportun at after massag it you could said siraj it ,"['kinda', 'miss', 'opportun', 'massag', 'could', 'said', 'siraj']"
711,712,eN9Lb3vXsAw,UCOu2XvT0kWlU6UIGXjo8NgA,Hay ! I love your videos as always !! And I see you coming stronger from your last public story!! Keep doing great job !!,3,2020-01-14T06:17:24.000Z,0.4453125,positive,hay I love your video as alway and I see you come stronger from your last public stori keep do great job ,"['I', 'love', 'video', 'alway', 'I', 'see', 'stronger', 'last', 'public', 'stori', 'keep', 'great', 'job']"
712,713,eN9Lb3vXsAw,UCU_qPgICQMc4pMwB8ywUH6g,Great that AI will embrace ethic issues!,0,2020-01-21T21:21:00.000Z,1.0,positive,great that AI will embrac ethic issu ,"['great', 'AI', 'embrac', 'ethic', 'issu']"
713,714,eN9Lb3vXsAw,UCFcG0m4j-tC1A-t8Kmcf4yQ,"Hey siraj, I need a help on kaggle competitions. I want to use the datasets available in the competition into their kernel itself. can you make a vdo on how to participate n know various checkpoints for kaggle competitions. Also, can you do a vdo on how to run our TF or keras scripts online with GPUs without being charged. I have a windows laptop without nvdia GPU and I always get cuda error. Pls help.",1,2020-01-13T09:10:07.000Z,0.2,neutral,hey siraj I need a help on kaggl competit I want to use the dataset avail in the competit into their kernel itself can you make a vdo on how to particip n know variou checkpoint for kaggl competit also can you do a vdo on how to run our TF or kera script onlin with gpu without be charg I have a window laptop without nvdia gpu and I alway get cuda error pl help ,"['hey', 'siraj', 'I', 'need', 'help', 'kaggl', 'competit', 'I', 'use', 'dataset', 'avail', 'competit', 'kernel', 'make', 'vdo', 'particip', 'know', 'variou', 'checkpoint', 'kaggl', 'competit', 'vdo', 'run', 'TF', 'kera', 'script', 'onlin', 'gpu', 'without', 'charg', 'I', 'window', 'laptop', 'without', 'nvdia', 'gpu', 'I', 'alway', 'get', 'cuda', 'error', 'pl', 'help']"
714,715,eN9Lb3vXsAw,UC7O9Vz6tLLgImJVfASBa06A,YES! Mojo is back + Parental unit appreciation is always important lol & thanks check out MLflow. (Now make a non-ML prediction one of my loser YT harassers will try and rain on this parade),1,2020-01-13T17:51:03.000Z,0.23000000000000004,neutral,ye mojo is back parent unit appreci is alway import lol thank check out mlflow now make a predict one of my loser YT harass will tri and rain on thi parad ,"['ye', 'back', 'parent', 'unit', 'appreci', 'alway', 'import', 'lol', 'thank', 'check', 'mlflow', 'make', 'predict', 'loser', 'YT', 'harass', 'rain', 'parad']"
715,716,eN9Lb3vXsAw,UCde3akt16qoC5RfhuA6rb3w,Good to see you back. You are very creative and your content is definitely different.,0,2020-02-20T16:12:20.000Z,0.3375,positive,good to see you back you are veri creativ and your content is definit differ ,"['good', 'see', 'back', 'veri', 'creativ', 'content', 'definit', 'differ']"
716,717,eN9Lb3vXsAw,UCPQNwuAHEV3cvHUyOdFuVRw,Without Drugs,0,2020-01-27T17:25:49.000Z,0.0,neutral,without drug ,['without']
717,718,eN9Lb3vXsAw,UCvYEXOA6iXq-ay0WRnNgJLQ,Can someone give me reason? Pytorch for research and TensorFlow for business and deployment? Thanks.,0,2020-01-16T01:57:20.000Z,0.2,neutral,can someon give me reason pytorch for research and tensorflow for busi and deploy thank ,"['someon', 'give', 'reason', 'pytorch', 'research', 'tensorflow', 'busi', 'deploy', 'thank']"
718,719,eN9Lb3vXsAw,UC5a2vzgUG4mGsqPBvwmYsKw,And Scikit-learn ?,2,2020-01-17T06:00:15.000Z,0.0,neutral,and ,[]
719,720,eN9Lb3vXsAw,UCwq40iH40j0F2zKHYbtf7PQ,haven't yet seen the video but the intro is great,1,2020-01-13T11:05:32.000Z,0.8,positive,have yet seen the video but the intro is great ,"['yet', 'seen', 'video', 'intro', 'great']"
720,721,eN9Lb3vXsAw,UCpqsgltl3R_ViXZFlyT7ffg,"I understand AI in medical applications will have a huge positive impact, but I see infinite positive impact when applied to education. Imagine everyone is educated in philosophy as Peter Singer and Derek Parfit, in physics as Feynman, in astronomy as Carl Sagan, in biology as Marie Curie and Jane Goodall, etc. We can prevent absurd amount of suffering and increase the well being of all sentience known to us.",1,2020-03-11T13:45:40.000Z,0.07090909090909092,neutral,I understand AI in medic applic will have a huge posit impact but I see infinit posit impact when appli to educ imagin everyon is educ in philosophi as peter singer and derek parfit in physic as feynman in astronomi as carl sagan in biolog as mari curi and jane goodal etc We can prevent absurd amount of suffer and increas the well be of all sentienc known to us ,"['I', 'understand', 'AI', 'medic', 'applic', 'huge', 'posit', 'impact', 'I', 'see', 'infinit', 'posit', 'impact', 'appli', 'educ', 'imagin', 'everyon', 'educ', 'philosophi', 'singer', 'derek', 'parfit', 'physic', 'feynman', 'astronomi', 'carl', 'sagan', 'biolog', 'mari', 'curi', 'jane', 'goodal', 'etc', 'We', 'prevent', 'absurd', 'amount', 'suffer', 'increas', 'well', 'sentienc', 'known', 'us']"
721,722,eN9Lb3vXsAw,UC9Ok171UfXee9PL988IlT5A,Great to see you again Siraj,0,2020-01-22T05:22:57.000Z,0.8,positive,great to see you again siraj ,"['great', 'see', 'siraj']"
722,723,eN9Lb3vXsAw,UC1QejQx5X-IS0EsMU9idDAw,welcome back,0,2020-01-24T22:08:33.000Z,0.4,positive,welcom back ,"['welcom', 'back']"
723,724,eN9Lb3vXsAw,UC_xWXE4e4lMv3BgwFaS48kQ,It takes tonnes of courage to get back after admitting the mistakes and continuing with what you started. All the best! Keep doing what you are doing! :),5,2020-01-14T09:47:02.000Z,0.5,positive,It take tonn of courag to get back after admit the mistak and continu with what you start all the best keep do what you are do ,"['It', 'tonn', 'courag', 'get', 'back', 'admit', 'mistak', 'continu', 'start', 'best', 'keep']"
724,725,eN9Lb3vXsAw,UCR16GXS5ZCpkGWB0A-ni7tQ,Hey siraj can you a video on competitive programming like how to improve algorithmic skills and problem solving abilities.. That would be,26,2020-01-13T05:18:57.000Z,0.0,neutral,hey siraj can you a video on competit program like how to improv algorithm skill and problem solv abil that would be ,"['hey', 'siraj', 'video', 'competit', 'program', 'like', 'improv', 'algorithm', 'skill', 'problem', 'solv', 'abil', 'would']"
725,726,eN9Lb3vXsAw,UC0JZM0pc94Fz1z17m7SXKHw,Yo bout to get a pet octopus and teach it how to code,0,2020-03-26T18:16:54.000Z,0.0,neutral,Yo bout to get a pet octopu and teach it how to code ,"['Yo', 'bout', 'get', 'octopu', 'teach', 'code']"
726,727,eN9Lb3vXsAw,UCYnEUIJx3XVYd4wFUR8uY8g,Doesn't Gaussian Processes cause the problem of Overfitting?,0,2020-03-18T16:37:11.000Z,0.0,neutral,doe gaussian process caus the problem of overfit ,"['doe', 'gaussian', 'process', 'caus', 'problem', 'overfit']"
727,728,eN9Lb3vXsAw,UC73ZrBpuGcut0MJPDFkyh7g,Welcome back bro,0,2020-01-14T00:39:24.000Z,0.4,positive,welcom back bro ,"['welcom', 'back', 'bro']"
728,729,eN9Lb3vXsAw,UCGDViWiiRpryo7oEpcTS-jA,Yang2020,0,2020-02-15T21:50:20.000Z,0.0,neutral,yang2020 ,['yang2020']
729,730,eN9Lb3vXsAw,UCtO41QZDv3LF1C3AyqCQP0w,Great job.,0,2020-01-13T06:50:14.000Z,0.8,positive,great job ,"['great', 'job']"
730,731,eN9Lb3vXsAw,UC7o8AShr3QxBcYM-t_nH5zA,What happened at 12:37?,0,2020-01-20T04:28:23.000Z,0.0,neutral,what happen at ,['happen']
731,732,eN9Lb3vXsAw,UCVOR22a6ePgMTr8Egb7xuEg,9:55 Damn I need those ML Rap skills ;P,5,2020-01-13T13:32:05.000Z,0.0,neutral,damn I need those ML rap skill P ,"['damn', 'I', 'need', 'ML', 'rap', 'skill', 'P']"
732,733,eN9Lb3vXsAw,UC-n9K9Se3Z8XWkx2mNObuJQ,We have a moral imperative to keep advancing these technologies. But we do need to keep the dangers in mind,1,2020-03-13T04:51:11.000Z,0.0,neutral,We have a moral imper to keep advanc these technolog but we do need to keep the danger in mind ,"['We', 'imper', 'keep', 'advanc', 'technolog', 'need', 'keep', 'danger', 'mind']"
733,734,eN9Lb3vXsAw,UCMu4hvfH3uneZXTenC8KTLQ,"Learning by doing is excellent advice Siraj. At my company it counts significantly if an undergrad applying for an industrial placement position is working on projects in their spare time as it shows motivation beyond their course, suggests a passion for the industry and almost certainly puts them well ahead of their peers in terms of ability, almost all of whom will not have their own projects. Pursuing a degree can be beneficial for the broader base of background knowledge it can give and the chance to be exposed to avenues that someone might not have considered but that prove interesting (explore vs exploit in a sense), but it isn't essential and they rarely prepare someone well, if at all, for the real world; having actual experience of working one's own projects can easily trump merely having a degree and no experience.",0,2020-04-05T12:35:37.000Z,0.2248168498168498,neutral,learn by do is excel advic siraj At my compani it count significantli if an undergrad appli for an industri placement posit is work on project in their spare time as it show motiv beyond their cours suggest a passion for the industri and almost certainli put them well ahead of their peer in term of abil almost all of whom will not have their own project pursu a degre can be benefici for the broader base of background knowledg it can give and the chanc to be expos to avenu that someon might not have consid but that prove interest explor vs exploit in a sens but it is essenti and they rare prepar someon well if at all for the real world have actual experi of work one own project can easili trump mere have a degre and no experi ,"['learn', 'excel', 'advic', 'siraj', 'At', 'compani', 'count', 'significantli', 'undergrad', 'appli', 'industri', 'placement', 'posit', 'work', 'project', 'spare', 'time', 'show', 'motiv', 'beyond', 'cours', 'suggest', 'passion', 'industri', 'almost', 'certainli', 'put', 'well', 'ahead', 'peer', 'term', 'abil', 'almost', 'project', 'pursu', 'degre', 'benefici', 'broader', 'base', 'background', 'knowledg', 'give', 'chanc', 'expos', 'avenu', 'someon', 'might', 'consid', 'prove', 'interest', 'explor', 'vs', 'exploit', 'sens', 'essenti', 'rare', 'prepar', 'someon', 'well', 'real', 'world', 'actual', 'experi', 'work', 'project', 'easili', 'trump', 'mere', 'degre', 'experi']"
734,735,eN9Lb3vXsAw,UCD5bQwU2m8oojgc3R5EcSLg,Siraj is back..The only AI reality show on Youtube,1,2020-01-13T18:51:55.000Z,0.0,neutral,siraj is back the onli AI realiti show on youtub ,"['siraj', 'back', 'onli', 'AI', 'realiti', 'show', 'youtub']"
735,736,eN9Lb3vXsAw,UC3fa0Udt_Vq5AWx553vdGQA,Hope for AI in 2020: Siraj's community participating in the SingularityNet hackathon in April.,0,2020-01-15T12:32:10.000Z,0.0,neutral,hope for AI in 2020 siraj commun particip in the singularitynet hackathon in april ,"['hope', 'AI', '2020', 'siraj', 'commun', 'particip', 'singularitynet', 'hackathon', 'april']"
736,737,eN9Lb3vXsAw,UCuXafhsdo4J4-4oFuc7BuxQ,Your mom is very pretty.,0,2020-02-14T01:58:38.000Z,0.325,positive,your mom is veri pretti ,"['mom', 'veri', 'pretti']"
737,738,eN9Lb3vXsAw,UCwxHmd7nKaVbleEf1Z1gbiA,That was awesome,0,2020-04-02T22:37:00.000Z,1.0,positive,that wa awesom ,"['wa', 'awesom']"
738,739,eN9Lb3vXsAw,UCPtvns0eVEEX8I7ZmWhneQg,Ok maybe you are trying to change let's see what you got,0,2020-01-17T21:17:37.000Z,0.5,positive,Ok mayb you are tri to chang let see what you got ,"['Ok', 'mayb', 'chang', 'let', 'see', 'got']"
739,740,eN9Lb3vXsAw,UC42-43YOTEbae_4LwyDnnRQ,"Hi Siraj, can you please stop selling your merchandise t shirts for time being!! Just suggestion. Hope you know reason ;)",6,2020-01-14T15:11:11.000Z,0.25,neutral,Hi siraj can you pleas stop sell your merchandis t shirt for time be just suggest hope you know reason ,"['Hi', 'siraj', 'pleas', 'stop', 'sell', 'merchandis', 'shirt', 'time', 'suggest', 'hope', 'know', 'reason']"
740,741,eN9Lb3vXsAw,UCh_w-ECrLF2RTKF0KL0ni2w,"Why the numbers of subscribers has been 690,00 for a couple of weeks tho? That's kinda odd.",1,2020-01-13T15:44:49.000Z,-0.16666666666666666,neutral,whi the number of subscrib ha been for a coupl of week tho that kinda odd ,"['whi', 'number', 'subscrib', 'coupl', 'week', 'tho', 'kinda', 'odd']"
741,742,eN9Lb3vXsAw,UCyglkQTMF0ctXg9ME_1Ka2Q,Siraj is,0,2020-01-14T19:40:10.000Z,0.0,neutral,siraj is ,['siraj']
742,743,eN9Lb3vXsAw,UCuuJZYpfVhPweRgzW5SGYhQ,are you From india,0,2020-01-31T12:23:38.000Z,0.0,neutral,are you from india ,['india']
743,744,eN9Lb3vXsAw,UC-FyaCUPlc2hrk8Y4chkS1A,Nice video! Keep your feet on the ground and things should go back on track! Trust is a valuable thing and no amount of technology can create it for you!,4,2020-01-13T09:35:17.000Z,0.375,positive,nice video keep your feet on the ground and thing should go back on track trust is a valuabl thing and no amount of technolog can creat it for you ,"['nice', 'video', 'keep', 'feet', 'ground', 'thing', 'go', 'back', 'track', 'trust', 'valuabl', 'thing', 'amount', 'technolog', 'creat']"
744,745,eN9Lb3vXsAw,UC5aojuLR_r0GIVKaggCIgvw,"I have no clue about how to code an ai, but I have thought: Maybe you could built a fully automatated laboratory, controlled by an AI. It could experiment with genome sequences to possibly create completely new materials or drugs. So, that's what I wanted to contribute to medicational reasearch.",0,2020-03-21T22:38:41.000Z,0.06818181818181818,neutral,I have no clue about how to code an ai but I have thought mayb you could built a fulli automat laboratori control by an AI It could experi with genom sequenc to possibl creat complet new materi or drug So that what I want to contribut to medic reasearch ,"['I', 'clue', 'code', 'I', 'thought', 'mayb', 'could', 'built', 'fulli', 'automat', 'laboratori', 'control', 'AI', 'It', 'could', 'experi', 'genom', 'sequenc', 'possibl', 'creat', 'complet', 'new', 'materi', 'So', 'I', 'contribut', 'medic', 'reasearch']"
745,746,eN9Lb3vXsAw,UC1N7NF4I8hONgbuTnJdzeHQ,"Yeaahh! Now the Siraj I once knew is back with that ""Energy"" & ""Motivating others""",72,2020-01-12T19:40:27.000Z,0.0,neutral,yeaahh now the siraj I onc knew is back with that energi motiv other ,"['yeaahh', 'siraj', 'I', 'onc', 'knew', 'back', 'energi', 'motiv']"
746,747,eN9Lb3vXsAw,UChHWEYpwJ5lM_fjP9nkos7w,""".. AI .. dramatically shape the direction of human civilization .."" According to Kurzweil, the full onset of the Singularity will occur by the year 2045 C.E. My guess is that a more appropriate name for the ""Singularity"" might be ""AI-geddon"" a mass-die off of the human species with human civilization replaced by various AI civilizations. By speeding up the Darwinian evolution of intelligence, will human beings destroy themselves? Or perhaps, cause human beings to be nothing more than zoological specimens and lab animals?",0,2020-02-10T13:13:51.000Z,0.15000000000000002,neutral,AI dramat shape the direct of human civil accord to kurzweil the full onset of the singular will occur by the year 2045 My guess is that a more appropri name for the singular might be a off of the human speci with human civil replac by variou AI civil By speed up the darwinian evolut of intellig will human be destroy themselv Or perhap caus human be to be noth more than zoolog specimen and lab anim ,"['AI', 'dramat', 'shape', 'direct', 'human', 'civil', 'accord', 'kurzweil', 'full', 'onset', 'singular', 'occur', 'year', '2045', 'My', 'guess', 'appropri', 'singular', 'might', 'human', 'speci', 'human', 'civil', 'replac', 'variou', 'AI', 'civil', 'By', 'speed', 'darwinian', 'evolut', 'intellig', 'human', 'destroy', 'themselv', 'Or', 'perhap', 'caus', 'human', 'noth', 'zoolog', 'specimen', 'lab', 'anim']"
747,748,eN9Lb3vXsAw,UCeE8tDeZMhd-Y1a-z7IlVHg,Electromagnetic problems kill people AI should know this wanna find out and get near them? 5 G + much - - - much - - - - more *,0,2020-02-08T23:28:56.000Z,0.3,neutral,electromagnet problem kill peopl AI should know thi wan na find out and get near them 5 G much much more ,"['electromagnet', 'problem', 'kill', 'peopl', 'AI', 'know', 'wan', 'find', 'get', 'near', '5', 'G', 'much', 'much']"
748,749,eN9Lb3vXsAw,UCXXyzVkmBb4kABQJznDs0eg,Don't forget to CREDIT the github :),6,2020-01-12T23:17:45.000Z,0.5,positive,Do forget to credit the github ,"['Do', 'forget', 'credit', 'github']"
749,750,eN9Lb3vXsAw,UC0KXvbzew5ZlDoWgSOoXszg,"I love that you Linked the references below, but could you do a DATE/TIME stamp next to them so I can find them quicker.. PLEASE ! Glad that you are moving forward and Love your energy. Great information. Keep the Source, - - - Reference your Sources - - - May the Source be with you.. :-)",4,2020-01-13T20:03:45.000Z,0.4666666666666666,positive,I love that you link the refer below but could you do a stamp next to them so I can find them quicker pleas glad that you are move forward and love your energi great inform keep the sourc refer your sourc may the sourc be with you ,"['I', 'love', 'link', 'refer', 'could', 'stamp', 'next', 'I', 'find', 'quicker', 'pleas', 'glad', 'move', 'forward', 'love', 'energi', 'great', 'inform', 'keep', 'sourc', 'refer', 'sourc', 'may', 'sourc']"
750,751,eN9Lb3vXsAw,UCn3fdodPN5JBFsPWS7U9B6g,"The content was great, but that intro was GOLD!!",2,2020-01-13T13:17:09.000Z,1.0,positive,the content wa great but that intro wa gold ,"['content', 'wa', 'great', 'intro', 'wa', 'gold']"
751,752,eN9Lb3vXsAw,UCHYyVPa3ecvKd950S2SFUUQ,Writed in c++,2,2020-01-12T20:23:34.000Z,0.0,neutral,write in ,['write']
752,753,eN9Lb3vXsAw,UCUT5JXaY5HedO_Uv_PfBrdQ,"Really I'm impressed after bearing all sorts of negative criticism, you are still continuing and trying to move forward. Really respect your unshakable attitude and best of luck with your future. Hope, you read this comment and do not repeat your mistakes again. :)",11,2020-01-12T20:11:23.000Z,0.4,positive,realli I impress after bear all sort of neg critic you are still continu and tri to move forward realli respect your unshak attitud and best of luck with your futur hope you read thi comment and do not repeat your mistak again ,"['realli', 'I', 'impress', 'bear', 'sort', 'neg', 'critic', 'still', 'continu', 'move', 'forward', 'realli', 'respect', 'unshak', 'attitud', 'best', 'luck', 'futur', 'hope', 'read', 'comment', 'repeat', 'mistak']"
753,754,eN9Lb3vXsAw,UCU1XO9F7XpXC6Z9QbiKTZCQ,"The man did it. He is back from the dead. Good for you Siraj! People make mistakes, even giant ones like plagarizing the works of others, but life is long and while you are still breathing you deserve to get back up. Your content is awesome for what it is. You are not an expert engineer, you are an expert communicator.",7,2020-01-13T15:25:37.000Z,0.23214285714285715,neutral,the man did it He is back from the dead good for you siraj peopl make mistak even giant one like plagar the work of other but life is long and while you are still breath you deserv to get back up your content is awesom for what it is you are not an expert engin you are an expert commun ,"['He', 'back', 'dead', 'good', 'siraj', 'peopl', 'make', 'mistak', 'even', 'giant', 'like', 'plagar', 'work', 'life', 'long', 'still', 'breath', 'deserv', 'get', 'back', 'content', 'awesom', 'expert', 'engin', 'expert', 'commun']"
754,755,eN9Lb3vXsAw,UC0JZM0pc94Fz1z17m7SXKHw,Yo wtf I want a robot octopus,0,2020-03-26T18:17:09.000Z,-0.5,negative,Yo wtf I want a robot octopu ,"['Yo', 'wtf', 'I', 'robot', 'octopu']"
755,756,eN9Lb3vXsAw,UCyLNa3Xd9BcDOzKOLcnPTFg,What about Julia,0,2020-01-23T16:26:43.000Z,0.0,neutral,what about julia ,['julia']
756,757,eN9Lb3vXsAw,UC5WyU8JYlnFAyrmwLbIVnZw,Nice to see you again Siraj :) I love your channel <3,6,2020-01-16T01:29:04.000Z,0.65,positive,nice to see you again siraj I love your channel 3 ,"['nice', 'see', 'siraj', 'I', 'love', 'channel', '3']"
757,758,eN9Lb3vXsAw,UCXwlcb-tk122sW5OKGH_Wng,"This is the best what you always doing. Thx for that, but the most important thing is stay a real person for the ML community.",2,2020-01-13T10:25:27.000Z,0.525,positive,thi is the best what you alway do thx for that but the most import thing is stay a real person for the ML commun ,"['best', 'alway', 'thx', 'import', 'thing', 'stay', 'real', 'person', 'ML', 'commun']"
758,759,eN9Lb3vXsAw,UCeAhpKd7WRvFMCozVIkmGiw,"Very good, they are predictions, that means a lot of courage because if it is wrong it would be recorded and remember as a looser, BUT if it is right gives you a lot BUT a lot of credibility! Congrats.",0,2020-02-25T13:57:10.000Z,0.2557142857142857,neutral,veri good they are predict that mean a lot of courag becaus if it is wrong it would be record and rememb as a looser but if it is right give you a lot but a lot of credibl congrat ,"['veri', 'good', 'predict', 'mean', 'lot', 'courag', 'becaus', 'wrong', 'would', 'record', 'rememb', 'looser', 'right', 'give', 'lot', 'lot', 'credibl', 'congrat']"
759,760,eN9Lb3vXsAw,UC5WyU8JYlnFAyrmwLbIVnZw,i love your humour,1,2020-01-16T02:12:07.000Z,0.5,positive,i love your humour ,"['love', 'humour']"
760,761,eN9Lb3vXsAw,UCcyYj9yjs31OjkqZV6U416A,"PyTorch is good especially to deal with RNNs, seq2seq and weights sharing. But what are your thoughts about Tensorflow Eager?",0,2020-01-23T16:18:36.000Z,0.35,positive,pytorch is good especi to deal with rnn seq2seq and weight share but what are your thought about tensorflow eager ,"['pytorch', 'good', 'especi', 'deal', 'rnn', 'seq2seq', 'weight', 'share', 'thought', 'tensorflow', 'eager']"
761,762,eN9Lb3vXsAw,UCt9lHt5bMpafypEDwj6J2WQ,Back at it again,1,2020-01-13T09:56:11.000Z,0.0,neutral,back at it again ,['back']
762,763,eN9Lb3vXsAw,UC7W1uerbu5RyE-jhtXe9reQ,"Welcome Back, Siraj",10,2020-01-14T12:27:03.000Z,0.4,positive,welcom back siraj ,"['welcom', 'back', 'siraj']"
763,764,eN9Lb3vXsAw,UCEWiP7GP6UMdfXkAO_MBRaA,Good going Mate.,4,2020-01-13T03:04:39.000Z,0.7,positive,good go mate ,"['good', 'go', 'mate']"
764,765,eN9Lb3vXsAw,UCoYgxvrMzGPma8m3G4DhNdg,"Welcome back bro, love the positivity",0,2020-01-18T13:17:11.000Z,0.43333333333333335,positive,welcom back bro love the posit ,"['welcom', 'back', 'bro', 'love', 'posit']"
765,766,eN9Lb3vXsAw,UCt08IxQMmIapqJQW6p0BPXQ,vaporwave jajaja,0,2020-01-14T03:56:46.000Z,0.0,neutral,vaporwav jajaja ,"['vaporwav', 'jajaja']"
